Wed Jan  1 00:01:17 2014	198	B.b. King	Auld Lang Syne	A Christmas Celebration Of Hope
Wed Jan  1 00:03:36 2014	194	Dean Martin, Frank Sinatra	Auld Lang Syne	Christmas With The Rat Pack
Wed Jan  1 00:05:48 2014	196	Chris Isaak	Auld Lang Syne	Christmas 2004
Wed Jan  1 00:06:45 2014	191	Phish	Auld Lang Syne [Live At Madiso	n/a
Wed Jan  1 00:08:30 2014	195	Arthur Lyman	For Auld Lang Syne	With A Christmas Vibe
Wed Jan  1 00:10:47 2014	191	Herb Alpert	Jesu, Joy Of Man's Desiring	Herb Alpert & The Tijuana Brass Christmas Album
Wed Jan  1 00:14:09 2014	195	Kubris Blumen	We Three Kings	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 00:19:18 2014	185	Red Connection	O' Tannenbaum [Oh, Dancing Tree Mix]	Holiday Remixed: Reworked classics and originals from the Mistletoe Lounge
Wed Jan  1 00:22:25 2014	192	Fever Audio	Lil' Drummer Boy [Big Drummer Man Remix]	Holiday Remixed: Reworked Classics And Originals From The Mistletoe Lounge
Wed Jan  1 00:27:49 2014	193	Kaskade	Still Still Still	hOMe For The Holidays
Wed Jan  1 00:31:51 2014	193	Vince Guaraldi Trio	Christmas Time Is Here [Markus Enochson Remix]	Merry Mixmas
Wed Jan  1 00:35:10 2014	194	Arthur Lyman	Winter Wonderland	With A Christmas Vibe
Wed Jan  1 00:37:14 2014	198	Charles Afton	Dance Of The Sugar Plum Fairy	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 00:41:06 2014	197	Jacky Terrasson	Adeste Fideles, Little Drumer Boy Jam	Yule Be Boppin'
Wed Jan  1 00:44:30 2014	196	Lionel Hampton Orchestra	Boogie Woogie Santa Claus	Swingin' Christmas
Wed Jan  1 00:47:27 2014	198	Morgan, G & Christine	Jingle Bells	Christmas Chill Out
Wed Jan  1 00:51:14 2014	198	Jimmy Mcgriff	Santa Claus Is Coming To Town, White Christmas	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 00:58:00 2014	203	Jimmy Mc Griff	White Christmas	Christmas With Jimmy McGriff
Wed Jan  1 01:01:13 2014	201	Rosemary Clooney (Mno Remix)	Have Yourself A Very Merry Christmas	Christmas Remixed 2
Wed Jan  1 01:05:10 2014	205	Various Artists	The Christmas Song	The Reindeer Room: A Christmas Chillout
Wed Jan  1 01:09:14 2014	201	Jack Johnson	Rudolph The Red Nosed Reindeer	Maybe This Christmas
Wed Jan  1 01:11:14 2014	205	Oscar Peterson	God Rest Ye Merry Gentlemen	All I Want for Christmas is Jazz
Wed Jan  1 01:14:35 2014	207	Jimmy Durante	Frosty The Snowman	A Bachelor Pad Christmas
Wed Jan  1 01:17:31 2014	207	Louis Prima	Shake Hands With Santa	Swingin' Christmas
Wed Jan  1 01:19:53 2014	209	Dr.M	Silent Night	The Reindeer Room: A Christmas Chillout
Wed Jan  1 01:25:06 2014	214	Forro In The Dark	Santa Claus Is Coming	Forro Christmas EP
Wed Jan  1 01:27:11 2014	213	Capitol Studio Orchestra	Cha-Cha All The Way	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 01:29:23 2014	213	Jimmy Smith	Santa Claus Is Coming To Town	Christmas '64
Wed Jan  1 01:34:37 2014	216	June Christy	Love Turns Winter To Spring	Wonderland: Cool December, A Warm And Fuzzy Winter
Wed Jan  1 01:37:56 2014	206	Billy Paul Williams	Ye Merry Gents	The Mistletoe Lounge
Wed Jan  1 01:42:00 2014	203	Lou Rawls	Christmas Is	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 01:45:10 2014	199	Rithma	Pyscho Jingle Funk	hOMe For The Holidays
Wed Jan  1 01:49:50 2014	202	11 Acorn Lane	Hark The Herald Angels Sing	Happy Holy Days
