Mon Apr  1 00:02:01 2013	59	Lisa Papineau	Out To You (Chachi Jones Remix)	Night Moves (Remixes)
Mon Apr  1 00:09:19 2013	59	John Hughes	Set Me On The Couch (Twine Remix)	Immediate Action
Mon Apr  1 00:12:55 2013	58	Fagan	Zeko I Potocic	Voice Command
Mon Apr  1 00:14:40 2013	61	Rei Harakami	Triple Flat	Opa*Q
Mon Apr  1 00:20:54 2013	63	Craque	Strawberry Jam	material
Mon Apr  1 00:26:55 2013	65	Zerzz	Bells Of Death	n/a
Mon Apr  1 00:29:03 2013	63	Blackdaylight	Daylight 180	Blackdaylight Live
Mon Apr  1 00:31:29 2013	62	Detroit Escalotor Co.	Scram	Black Buildings
Mon Apr  1 00:35:08 2013	67	Vincent Parker	Desmond 3	n/a
Mon Apr  1 00:38:47 2013	69	Gate Zero	Bright Reflection	Black Dust
Mon Apr  1 00:42:34 2013	71	Nuuro	Common Dragons	In Transit EP
Mon Apr  1 00:46:27 2013	66	Lusine	Baffle	A Certain Distance
Mon Apr  1 00:50:44 2013	67	Ryuichi Sakamoto	Coro	CHASM
Mon Apr  1 00:54:40 2013	67	Monoceros	6equj5	I feel apocalyptic today
Mon Apr  1 01:00:06 2013	63	Secondary Cell	Friction	n/a
Mon Apr  1 01:04:33 2013	66	Alderandelius	Irie's Eyes	n/a
Mon Apr  1 01:08:34 2013	67	Languis	Never Now	The Four Walls
Mon Apr  1 01:12:42 2013	66	Ylid	Noth	saccade
Mon Apr  1 01:16:14 2013	64	Coppe	Monologue	8
Mon Apr  1 01:18:20 2013	65	Anklebiter	Clever Drunk	Raintree
Mon Apr  1 01:23:12 2013	66	Denzel And Huhn	Alto	Time Is A Good Thing
Mon Apr  1 01:26:49 2013	67	Autechre	Rale	Quaristice
Mon Apr  1 01:30:21 2013	70	Microesfera	Out (Latinsizer Rmx)	Negative
Mon Apr  1 01:38:03 2013	68	Aspen	Wedding Song (Again)	Infinessence
Mon Apr  1 01:41:13 2013	69	Bola	O, Chuma	Fyuti
Mon Apr  1 01:47:04 2013	74	Dead Voices On Air	Jievoao	How Hollow Heart...
Mon Apr  1 01:49:29 2013	69	Yasushi Miura	Direct Current 10	Direct Current (Instant construction series No.9)
Mon Apr  1 01:49:50 2013	72	Chachi Jones	Clear	LunaticWorks- Vol 3: Loaded Music For Loaded Minds
Mon Apr  1 01:53:26 2013	67	Ultre	Peace Corpse	The Nest And The Skull
Mon Apr  1 01:56:35 2013	71	Vladislav Delay	Onttola	Demo(n) Tracks
Mon Apr  1 02:03:12 2013	76	Amp	Strahl	Amp
Mon Apr  1 02:09:55 2013	77	Os	Bear Loop	n/a
Mon Apr  1 02:32:27 2013	82	Neuromodulator	Giese 581	N
Mon Apr  1 02:38:03 2013	81	Carmen Rizzo	The Space Left Behind	The Space Left Behind
Mon Apr  1 02:42:52 2013	85	Jake Mandell	Sphang	Parallel Processes
Mon Apr  1 02:46:22 2013	87	Build Buildings	Dibs	There Is A Problem With My Tape Recorder
Mon Apr  1 02:49:34 2013	85	Leisure-B	Stuffing Birds	Humanworkshop
Mon Apr  1 02:52:50 2013	77	Isan	Gurnard	Meet Next Life
Mon Apr  1 02:57:34 2013	75	Jon Hopkins	Halcyon	Opalescent
Mon Apr  1 03:02:21 2013	81	Soundhacker	Clock And Pocket	A Series of Routines
Mon Apr  1 03:06:23 2013	85	L'Altra	The Last	History Is Bunk Part 1
Mon Apr  1 03:10:37 2013	80	Zegunder	Woolgather	Distant Birds? Thought They Were Leaves
Mon Apr  1 03:14:29 2013	86	I Broke My Robot	Rebuild [D 8t]	n/a
Mon Apr  1 03:18:58 2013	86	Kiln	Fyrepond	Dusker
Mon Apr  1 03:23:12 2013	83	Lektrogirl	No Rap No Rock	I Love My Computer
Mon Apr  1 03:26:34 2013	84	Tapage & Meander	Hydrostatic Skeleton	Etched In Salt
Mon Apr  1 03:31:40 2013	86	Sense	45forelectricity	small things
Mon Apr  1 03:34:03 2013	85	One Caballero	Red (Cagean Remix)	coloured lights
Mon Apr  1 03:37:13 2013	86	Monolake	Tangent I	Interstate
Mon Apr  1 03:45:21 2013	87	Verbose	Eureka	resolve
Mon Apr  1 03:47:15 2013	87	Dntel	Fear Of Corners	Life Is Full Of Possibilities
Mon Apr  1 03:51:52 2013	87	Album Leaf	Another Day	Lifetime or More
Mon Apr  1 03:55:51 2013	88	Populous	The Breakfast Drama	Queue For Love
