Fri Aug  1 00:01:36 2014	57	Mum	Sing Me Out The Window	Summer Make Good
Fri Aug  1 00:06:19 2014	56	Littl Shyning Man	Hart Of The Wud	Hart Of The Wud
Fri Aug  1 00:11:59 2014	56	Barbara Morgenstern & Robert Lippok	If The Day Remains Unspoken For	Tesri
Fri Aug  1 00:15:30 2014	55	Antiguo Automata Mexicano	All Styl	Kraut Slut
Fri Aug  1 00:20:50 2014	56	Cylob	Cut The Midrange Drop The Bass	Cut The Midrange Drop The Bass
Fri Aug  1 00:24:33 2014	53	I Am Robot And Proud	Song For Two Wheels	Uphill City
Fri Aug  1 00:27:41 2014	54	Rena Jones	Sea Of Bubbles	Driftwood
Fri Aug  1 00:32:06 2014	53	Jon Hopkins	Collider (Objekt Remix)	Collider (Remixes)
Fri Aug  1 00:37:04 2014	53	I Broke My Robot	Evio Latt	Tomorrow Does Not Exist
Fri Aug  1 00:40:57 2014	55	Ryuichi Sakamoto	Coro	CHASM
Fri Aug  1 00:44:57 2014	53	R.roo	Don't Talk About It	mgnovenie
Fri Aug  1 00:48:08 2014	52	Black Gold 360	Wonderful Wonderful World	Black Gold 360
Fri Aug  1 00:53:34 2014	53	Dustin.odell	Cadmium Yellow	last thursday died last week
Fri Aug  1 00:57:53 2014	53	Build	A Development (With A Grid Of Streets And A Shopping Center Hea	There Is a Problem With My Tape Recorder
Fri Aug  1 01:02:17 2014	52	Facil	88-30	Facil
Fri Aug  1 01:07:54 2014	55	Blackdaylight	Daylight 180	Blackdaylight Live
Fri Aug  1 01:10:26 2014	58	Eu	Alg 11	colder
Fri Aug  1 01:10:58 2014	58	Coppe	Me Moon Child	8
Fri Aug  1 01:15:16 2014	63	Autechre	Pro Radii	Untilted
Fri Aug  1 01:23:46 2014	61	Diagram Of Suburban Chaos	So Gone (Ventrimix)	Intricate Maximals
Fri Aug  1 01:30:25 2014	63	Rusuden	Raygoth	Warm Human Antennae
Fri Aug  1 01:31:46 2014	68	Vektordrum	Blossom Retina	Capitose Windowpane
Fri Aug  1 01:42:58 2014	65	Weave	Interlude 2	of the nature tone
Fri Aug  1 01:44:00 2014	64	Zegunder	Too Much Tv	Distant Birds? Thought They Were Leaves
Fri Aug  1 01:47:28 2014	67	Amon Tobin	El Wraith	Out From Out Where
Fri Aug  1 01:53:28 2014	68	Monoceros	Little Pieces	Tales for silent nights
Fri Aug  1 01:57:49 2014	71	Isan	Titled, Not Tithed	Clockwork Menagerie
Fri Aug  1 02:05:36 2014	75	Surface 10	B2 Gigacosm	Surface Tensions
Fri Aug  1 02:12:21 2014	80	Flotel	The Power Of Corridors	kelp
Fri Aug  1 02:16:35 2014	80	Denzel And Huhn	Faller	Time Is A Good Thing
Fri Aug  1 02:22:25 2014	83	Nicholas Sauser	Goca Chino (Ezekiel Honig's Farmer You Mix)	Microcosm Music Volume One
Fri Aug  1 02:27:22 2014	81	Lusine Icl	Isa	Condensed
Fri Aug  1 02:32:07 2014	78	Prhizzm	Half Asleep	Switches
Fri Aug  1 02:37:24 2014	80	Sine Lasts	Sine Lasts 14	Outlet Sounds Recordings
Fri Aug  1 02:46:15 2014	71	Rumpistol	Tape Swamp	Mere Rum
Fri Aug  1 02:52:18 2014	72	Effacer	Fire At Sea	Switches
Fri Aug  1 03:04:51 2014	66	A. D. L. R.	Personal Grids	Foam On The Waves Of Space-Time... (master_320_mp3)
Fri Aug  1 03:08:44 2014	67	Curd Duca	Alpine Bells	Elevator 3
Fri Aug  1 03:09:16 2014	67	Broca	Koowbwai	friends we met along the way
Fri Aug  1 03:13:59 2014	67	Languis	Chained To Always Changing	The Four Walls
Fri Aug  1 03:18:16 2014	67	Genox	Dling Dling	Slowly Fading Colors
Fri Aug  1 03:23:03 2014	69	Chris Zippel	Hd Archives	Genuine Horizon
Fri Aug  1 03:26:35 2014	73	Hideki Takimoto	An Evening Of Vanishing Sun	n/a
Fri Aug  1 03:31:39 2014	68	Ounce	Ounce-Transistor Track 05	Transistor
Fri Aug  1 03:38:31 2014	67	Lunch Box	Crispy Duck	n/a
Fri Aug  1 03:43:15 2014	71	Dead Janitor	Trosmo	Exit Bratislava - Near Dark and Beyond
Fri Aug  1 03:50:00 2014	70	Ruzina Frankulin	Silk	Electroblue
Fri Aug  1 03:56:00 2014	72	Granufunk	Plasma Grain Funky	Granufunk
Fri Aug  1 03:58:00 2014	73	Boards Of Canada	Hey Saturday Sun	The Campfire Headphase
Fri Aug  1 04:02:48 2014	71	Autechre	Vletrmx (Plaid Mix)	WARP10+3 Remixes
Fri Aug  1 04:08:57 2014	78	Star Slinger	Extra Time	Volume 1
Fri Aug  1 04:11:28 2014	74	Samarah	Why Birds Do Fly	Falling Away
Fri Aug  1 04:14:15 2014	77	Hayykan Lidbo	600160 10	n/a
Fri Aug  1 04:20:08 2014	75	Rena Jones Ft The New Millennium Orchestra & Tina Malia	A Lullaby For Corvis	Indra's Web
Fri Aug  1 04:25:14 2014	75	Dr. Rockit	Roman Candle	Indoor Fireworks
Fri Aug  1 04:27:46 2014	73	Ilkae	Frantasia	Pistachio Island
Fri Aug  1 04:28:58 2014	72	Thomas Fehlmann	Goldhaar	Lowflow
Fri Aug  1 04:32:25 2014	76	Granufunk	Formantenfruehstueck	Granufunk
Fri Aug  1 04:38:45 2014	75	Pembls	Outro Punk	Humana EP, Cold Fiction Records
Fri Aug  1 04:48:19 2014	85	Plaid	Tender Hooks	Scintilli
Fri Aug  1 04:52:42 2014	91	Ruxpin	I Noticed You Hovering Above Me	Where Do We Float From Here?
Fri Aug  1 04:56:45 2014	92	Black Gold 360	Venus Supine	Black Gold 360
Fri Aug  1 05:04:37 2014	98	Lusine Icl	Mojave	Condensed
Fri Aug  1 05:11:06 2014	97	Audiokonstrukte	Sensi City	City Echoes
Fri Aug  1 05:14:57 2014	98	A Positive Life	Lighten Up	Three A.D.
Fri Aug  1 05:21:23 2014	94	Denzel And Huhn	Melight	Time Is A Good Thing
Fri Aug  1 05:25:47 2014	86	Snyzch	Snort Porridge (Do Me Mix)	Seed Records Volume One
Fri Aug  1 05:29:48 2014	83	I Broke My Robot	The Afternoon We Tried Suicide	Tomorrow Does Not Exist
Fri Aug  1 05:33:24 2014	81	Kelpe	Keep Danger	Sea Inside Body
Fri Aug  1 05:37:45 2014	86	Isan	No. 3. (Lent Et Grave)	A Morr Music Covers Compilation
Fri Aug  1 05:39:42 2014	85	Soundhacker	Charge	Retrospective Disinfective
Fri Aug  1 05:44:00 2014	88	Seekae	Mingus	+DOME (MASTER)
Fri Aug  1 05:48:46 2014	86	Gloom	Mutatis Mutandi	n/a
Fri Aug  1 05:54:13 2014	86	AFX	Sloth	Analogue Bubblebath 4
Fri Aug  1 06:02:19 2014	83	Digitonal	Seraphim (Angel Mix)	Be Still My Bleeping Heart (Compilation)
Fri Aug  1 06:09:44 2014	85	Nauseous Youth Future	Trxgelignite	Dosage
Fri Aug  1 06:13:03 2014	86	Gate Zero	Crossing The Channel	[THN086] Radio overBoard
Fri Aug  1 06:17:15 2014	84	David Penna	Sql	Failure To Obey A Traffic Control Device
Fri Aug  1 06:23:36 2014	78	Flashbulb	California Dreaming	Kirlian Selections
Fri Aug  1 06:27:03 2014	78	Curd Duca	Serge B1	Elevator 3
Fri Aug  1 06:27:28 2014	78	Textura	Ten Dimes Track 07	Ten dimes
Fri Aug  1 06:32:44 2014	79	Retic	Bones	Chameleon Template
Fri Aug  1 06:38:30 2014	83	Arovane	Epilogue	Tides
Fri Aug  1 06:41:03 2014	80	Weave	Medeva	of the nature tone
Fri Aug  1 06:45:31 2014	76	Tammetoru	Tonis	cactus island 023 brittle behavior
Fri Aug  1 06:49:35 2014	77	Nicolas Bernier And Jacques Poulin-Denis	Mur	Sur Fond Blanc
Fri Aug  1 06:52:30 2014	78	Osmic	Bang's Bigger Brother 09	Bang's Bigger Brother
Fri Aug  1 06:56:35 2014	81	Self Oscillate	Thirtyseven	Ikude
Fri Aug  1 07:00:22 2014	84	Nobile	Mariella Untitled Track 6	mariella
Fri Aug  1 07:03:42 2014	80	Build Buildings	Egypt	Ceiling Lights from Street
Fri Aug  1 07:07:15 2014	80	American Dollar / Arms And	Diario 16	n/a
Fri Aug  1 07:10:38 2014	84	Rusuden	Stalfosia	10 Track Disclosure
Fri Aug  1 07:13:54 2014	80	Cex	At Least I Can Say I Tried	Role Model
Fri Aug  1 07:21:16 2014	79	Etschaberry	Love Trip On Ze Boat	Cloud Cover
Fri Aug  1 07:25:40 2014	82	Notwist, The	This Room	Neon Golden
Fri Aug  1 07:30:28 2014	80	Nuuro	Common Dragons	In Transit EP
Fri Aug  1 07:34:18 2014	76	Band Ane	Atommuffin	Anish Music Too
Fri Aug  1 07:38:48 2014	76	Remote Viewer	There Used To Be More Of Us	Here I Go Again On My Own
Fri Aug  1 07:42:14 2014	79	Infinite Scale	Acoustic Snails	Sound Senser EP
Fri Aug  1 07:48:32 2014	77	Falty D L	She Sleeps (Ital Remix)	n/a
Fri Aug  1 07:55:23 2014	72	Samarah	Fall Away	Falling Away
Fri Aug  1 07:58:33 2014	71	Autechre	Vi Scose Poise	Confield
Fri Aug  1 08:05:24 2014	75	Bonobo	The Sicilian	Remixes & B Sides
Fri Aug  1 08:09:21 2014	79	Dntel	Suddenly Is Sooner Than You Think	Life Is Full Of Possibilities
Fri Aug  1 08:14:59 2014	81	Pub	Summer (Arovane Mix 1)	Lush Life Electronica
Fri Aug  1 08:21:19 2014	82	Lex Polzien	Brownbag	Cloud Cover
Fri Aug  1 08:25:54 2014	84	Rumpistol	Overtone	Mere Rum
Fri Aug  1 08:30:21 2014	88	Ilkae	Pancake Satellites	Pistachio Island
Fri Aug  1 08:32:40 2014	94	Electric Bird Noise	Moments Like Last Night Make Me Wanna Believe In Ghost	Fragile Hearts.....Fragile Minds
Fri Aug  1 08:35:31 2014	86	Thomas Fehlmann	Lindt	Lowflow
Fri Aug  1 08:39:41 2014	84	Phasmid	Eating Ghosts	friends we met along the way
Fri Aug  1 08:43:38 2014	88	Manitoba	Bijoux	Up in Flames (Domino - 2003)
Fri Aug  1 08:47:55 2014	86	Amon Tobin	Lost & Found	Isam
Fri Aug  1 08:52:25 2014	88	Monojo & Debora Vilchez	Mutan Records vs. Robots Track 2	n/a
Fri Aug  1 08:56:44 2014	86	Cullen Miller	Stolen Nature	Stolen Nature
Fri Aug  1 08:58:30 2014	89	Signaldrift	Yellow Leaves	Set Design
Fri Aug  1 09:04:43 2014	92	I Broke My Robot	Alt I	Tomorrow Does Not Exist
Fri Aug  1 09:09:05 2014	89	Eu	120 Mls Of Acid	colder
Fri Aug  1 09:11:05 2014	91	Languis	A Simple Thought	The Four Walls
Fri Aug  1 09:15:42 2014	91	Vessel	A.D.S.A	south
Fri Aug  1 09:19:35 2014	93	Fibreman Vs Pempi	Casein I Isoform Delta	Fibreman vs Pempi
Fri Aug  1 09:22:28 2014	95	Ounce	Ounce-Transistor Track 03	Transistor
Fri Aug  1 09:36:17 2014	87	Jesus Mora	Se Abre La Puerta	Simple Textures For A Complex World
Fri Aug  1 09:40:41 2014	85	Boards Of Canada	Ataronchronon	The Campfire Headphase
Fri Aug  1 09:41:33 2014	86	Denzel And Huhn	Chicago	Time Is A Good Thing
Fri Aug  1 09:45:06 2014	84	Kelpe	Care Of Presto Mini	Sea Inside Body
Fri Aug  1 09:47:29 2014	79	Blackdaylight	The Second Season Approaches (Screw D)	n/a
Fri Aug  1 09:50:25 2014	84	Monoceros	Life In A Fishbowl (Are They Watching Us)	I feel apocalyptic today
Fri Aug  1 09:54:38 2014	87	Sovacusa	116	friends we met along the way
Fri Aug  1 09:59:21 2014	88	Boards Of Canada	'84 Pontiac Dream	The Campfire Headphase
Fri Aug  1 10:02:46 2014	96	Pushkin Vs Broca	Silo	Stop, Look, Wave
Fri Aug  1 10:06:24 2014	84	Autechre	Fol 3	n/a
Fri Aug  1 10:10:04 2014	75	Granufunk	Das Winzige Wesen	Granufunk
Fri Aug  1 10:16:17 2014	82	Verbose	Vertigo	resolve
Fri Aug  1 10:18:24 2014	83	Album Leaf	Malmo	Seal Beach
Fri Aug  1 10:23:48 2014	80	Station	Coco Myalore	Stop, Look, Wave
Fri Aug  1 10:27:24 2014	84	Curd Duca	Laura	Elevator 3
Fri Aug  1 10:27:37 2014	84	Beat.dowsing	Chocolate	Trigger.Melodies
Fri Aug  1 10:31:57 2014	81	Lord Raja	Globe In My Room	Rubies EP
Fri Aug  1 10:34:39 2014	82	Ilkae	Rusty Mittens	Pistachio Island
Fri Aug  1 10:36:27 2014	83	Mister Lies	Ludlow	Mowgli
Fri Aug  1 10:40:44 2014	82	Nuuro	Blister	All Clear
Fri Aug  1 10:43:43 2014	84	Aspen	For Thierry Henry And Ans Westra	isn't it about time you thought about something more than what makes you happy?
Fri Aug  1 10:51:37 2014	85	Kilowatts	Last_Hoorah	Problem/Solving
Fri Aug  1 10:56:24 2014	88	Aul	6am	the resplendent orb of day ret
Fri Aug  1 11:06:59 2014	88	Antiguo Automata Mexicano	Mille (Kampion Mix)	Kraut Slut
Fri Aug  1 11:12:47 2014	84	Dimitris	Tribute To The Masters	Collages_Rhythmos
Fri Aug  1 11:16:32 2014	83	Rodolphe Kuffer	Content	Switches
Fri Aug  1 11:20:58 2014	87	Jon Hopkins	Contact Note	Contact Note
Fri Aug  1 11:28:17 2014	91	Studio Pankow	Ruhleben	Linienbusse
Fri Aug  1 11:45:18 2014	80	Yoshinori Sunahara	The First Step (Version Liminal)	liminal
Fri Aug  1 11:50:36 2014	77	Alder & Elius	Introduction To The Opposites (Made Remix)	Hazardous Materials
