Fri Feb  1 00:00:09 2013	41	Sheryl Crow	Sweet Child O'mine	Ost Big Daddy
Fri Feb  1 00:03:50 2013	42	Twilight Sad	Half A Person (The Smiths Cove	n/a
Fri Feb  1 00:07:07 2013	40	Rob Zombie	Blitzkrieg Bop	We're A Happy Family: A Tribute To The Ramones
Fri Feb  1 00:09:49 2013	39	Fiona Apple	Across The Universe	Pleasantville [Original Soundtrack]
Fri Feb  1 00:14:45 2013	37	Aimee Mann	The Scientist (Live)	Lost in Space (Spec)
Fri Feb  1 00:18:54 2013	40	Postal Service	Suddenly Everything Has Changed	District Sleeps Alone Tonight
Fri Feb  1 00:22:40 2013	41	Goldfinger	Just Like Heaven	The Best of Goldfinger [Bonus DVD]
Fri Feb  1 00:25:27 2013	42	Lindsey Pool	Phantom	n/a
Fri Feb  1 00:29:53 2013	43	Ol' Dirty Bastard	Sussudio	n/a
Fri Feb  1 00:34:05 2013	43	Sade	Why Can't We Live Together	Diamond Life
Fri Feb  1 00:39:34 2013	46	Rod Stewart	Just Like A Woman	Tonight I'm Yours
Fri Feb  1 00:43:24 2013	48	Lemonheads	Mrs. Robinson	It's A Shame About Ray
Fri Feb  1 00:46:52 2013	47	Vika Yermolyeva	Call Of Ktulu	n/a
Fri Feb  1 00:53:00 2013	46	Vampire Weekend	Everywhere	n/a
Fri Feb  1 00:56:06 2013	47	And You Will Know Us By The Trail Of The Dead	The Porpoise Song	Worlds Apart/Back In New York City/Porpoise Song
Fri Feb  1 00:59:06 2013	49	Me First And The Gimme Gimmes	Different Drum	Blow in the Wind [Vinyl]
Fri Feb  1 01:01:34 2013	49	Hot Rod Circuit	Gin & Juice	n/a
Fri Feb  1 01:05:14 2013	52	Panda Riot	Paper Planes	n/a
Fri Feb  1 01:07:52 2013	49	Bangles	A Hazy Shade Of Winter	The Essential Bangles
Fri Feb  1 01:10:27 2013	49	Fear Factory And Danzig	Enter Sandman	Metallic Assault
Fri Feb  1 01:15:41 2013	48	Shins	We Will Become Silhouettes	n/a
Fri Feb  1 01:18:40 2013	50	John Mayer Trio	I Got A Woman	Try! John Mayer Trio Live in Concert
Fri Feb  1 01:26:15 2013	49	Wailing Souls	Like A Rolling Stone	Psychedelic Souls
Fri Feb  1 01:30:16 2013	46	Carl Craig Presents Zoos Of Berlin	Looking For Water (Demo Version)	n/a
Fri Feb  1 01:35:01 2013	48	Colin Meloy	Cherry Tree Carol	n/a
Fri Feb  1 01:38:45 2013	47	Shane Macgowan & The Popes	Cracklin' Rosie	Rare Oul'stuff
Fri Feb  1 01:41:57 2013	48	Belle And Sebastian	Everyday People	n/a
Fri Feb  1 01:44:21 2013	48	Catholicgaydar	Distortions	n/a
Fri Feb  1 01:48:07 2013	51	Postal Service	Grow Old With Me	Instant Karma: The Amnesty International Campaign to Save Darfur
Fri Feb  1 01:50:29 2013	48	Whitlams	Tangled Up In Blue	Eternal Nightcap
Fri Feb  1 01:56:04 2013	52	Madeleine Peyroux	Everybody's Talking	Musikresan 166
Fri Feb  1 02:01:00 2013	52	A Teens	Dancing Queen	Greatest Hits
Fri Feb  1 02:04:48 2013	49	Status Quo	Proud Mary	Don't Stop
Fri Feb  1 02:08:14 2013	51	Vika Yermolyeva	Yann Tiersen	n/a
Fri Feb  1 02:11:28 2013	48	Susanna And The Magical Orchestra	Love Will Tear Us Apart	Melody Mountain
Fri Feb  1 02:16:15 2013	51	New Found Glory	Everything I Do I Do It For U	n/a
Fri Feb  1 02:19:01 2013	53	Isaac Hayes	Lay Lady Lay	Tangled Up In Blues
Fri Feb  1 02:24:29 2013	55	Cake	I Will Survive	Fashion Nugget
Fri Feb  1 02:29:35 2013	53	Leann Rimes	I Will Always Love You	Unchained Melody: The Early Years
Fri Feb  1 02:34:15 2013	52	Storm And The Balls	Total Eclipse Of The Heart (Si	n/a
Fri Feb  1 02:37:54 2013	43	Little Pictures	Buddy Holly	n/a
Fri Feb  1 02:40:43 2013	42	Sister Double Happiness	Holiday In Cambodia	Virus 100: Dead Kennedy Covers
Fri Feb  1 02:44:53 2013	47	Mutton Birds	(Dont Fear) The Reaper	Flock-Best of Mutton Birds
Fri Feb  1 02:50:36 2013	48	Me First And The Gimme Gimmes	Summertime	Are a Drag
Fri Feb  1 02:53:06 2013	52	Homeless Mustard	Creep (Radiohead)	n/a
Fri Feb  1 02:56:15 2013	47	U2	Everlasting Love	Best Of 1980-1990/B-Sides
Fri Feb  1 02:59:34 2013	46	Lorene Drive	Hey Ya	Punk Goes Crunk
Fri Feb  1 03:03:42 2013	47	Jason & The Scorchers	Take Me Home, Country Roads	A Blazing Grace
Fri Feb  1 03:06:53 2013	48	Steve Earle	Time Has Come Today	Sidetracks
Fri Feb  1 03:10:43 2013	47	Colin Meloy	Charlie	n/a
Fri Feb  1 03:13:20 2013	49	Everclear	Brown Eyed Girl	Songs From an American Movie Vol. One: Learning How to Smile
Fri Feb  1 03:17:33 2013	51	Korn	Word Up	Korn - Greatest Hits, Vol. 1
Fri Feb  1 03:20:29 2013	53	Stone Temple Pilots	Break On Through (To The Other	n/a
Fri Feb  1 03:24:14 2013	53	Buena Vista Social Club	High And Dry (El Lele De Los Van Van Feat. Radiohead)	n/a
Fri Feb  1 03:29:04 2013	54	She & Him	I Should Have Known Better	Volume One
Fri Feb  1 03:32:30 2013	53	Audrye Sessions	Waltz 2 (Xo)	n/a
Fri Feb  1 03:37:18 2013	50	Mojo Nixon	Girlfriend In A Coma	Whereabouts Unknown
Fri Feb  1 03:41:29 2013	50	Monster Magnet	Gimme Danger	We Will Fall: The Iggy Pop Tribute
Fri Feb  1 03:44:56 2013	52	Pixies	I Can't Forget	n/a
Fri Feb  1 03:48:16 2013	52	Alexq	Magic Carpet Ride	n/a
Fri Feb  1 03:51:51 2013	52	Cranberries	Go Your Own Way	Legacy: A Tribute To Fleetwood Mac's Rumours
Fri Feb  1 03:55:28 2013	49	Nouvelle Vague	Dancing With Myself	Best of Nouvelle Vague
