Tue Jan  1 00:03:06 2013	77	Icicle	Galacticstep (Original Mix)	Redemption EP
Tue Jan  1 00:08:04 2013	75	Dubba Jonny	A Brief Introduction On Dubstep Production	UKF Dubstep 2010
Tue Jan  1 00:11:05 2013	79	Subvert	Speaker Humpin (Mark Instinct Remix)	Speaker Humpin Remixed
Tue Jan  1 00:16:09 2013	77	District, Sleeper	Transitions	Terraformed EP
Tue Jan  1 00:22:04 2013	78	Flinch, Heather Bright	Light It Up feat. Heather Bright (Original Mix)	Light It Up EP
Tue Jan  1 00:26:57 2013	75	Modestep	Feel Good	Feel Good
Tue Jan  1 00:31:05 2013	72	Noisia	Split The Atom (Kito Remix)	Split The Atom: Special Edition
Tue Jan  1 00:35:16 2013	71	Vista	Exit Wound	n/a
Tue Jan  1 00:40:08 2013	72	Dj Ironbelly	Ironstep	Amped
Tue Jan  1 00:45:43 2013	79	Dj Antention	Take My Gun	Take My Gun
Tue Jan  1 00:49:31 2013	82	Flux Pavilion	Voscillate (Roksonix Remix)	Circus One Pres. By: Dr P & Flux Pavilion
Tue Jan  1 00:55:30 2013	79	Ld	Ogor	Getdarker Presents This Is Dubstep 2
Tue Jan  1 00:59:53 2013	85	Pretty Lights	Easy Way Out	Making Up A Changing Mind
Tue Jan  1 01:05:35 2013	81	Benga	Zero M2	Diary Of An Afro Warrior
Tue Jan  1 01:09:15 2013	83	Nate Mars	Stuck	Concentric Circles
Tue Jan  1 01:14:16 2013	84	Knife Party	Centipede	Rage Valley EP
Tue Jan  1 01:18:16 2013	78	Opiuo	The Ghetto	The Squiggle EP
Tue Jan  1 01:23:41 2013	78	Demon	Cardiac Attack	Getdarker Presents This Is Dubstep 2
Tue Jan  1 01:29:25 2013	76	Halo Nova	Alien Crunk	Alien Crunk
Tue Jan  1 01:33:48 2013	74	Chaosphere	Slam	Eradicate EP
Tue Jan  1 01:38:52 2013	71	Beto Narme	Simmer Down	Mutiple Choice (Dubstep!)
Tue Jan  1 01:45:00 2013	68	Mimi Page, Kezwik	Let Go Feat. Mimi Page (Kairo Kingdom Remix)	Let Go (Kairo Kingdom Remix)
Tue Jan  1 01:48:52 2013	64	District, Sleeper	Zero Day	Terraformed EP
Tue Jan  1 01:53:47 2013	70	JaFU	Lone Kimono	Add To Cart
Tue Jan  1 01:57:21 2013	69	Goldie	Kemistry (Justin Martin Remake)	Ghettos & Gardens
Tue Jan  1 02:02:28 2013	70	Skrillex	Kill Everybody	Scary Monsters and Nice Sprites
Tue Jan  1 02:07:21 2013	75	Cyrus	In The Background	Getdarker Presents This Is Dubstep 2
Tue Jan  1 02:12:17 2013	72	Bassnectar	Hot Right Now (Bassnectar Remix)	Wildstyle
Tue Jan  1 02:16:16 2013	70	Hadouken	Oxygen (Gemini Remix)	UKF Dubstep 2010
Tue Jan  1 02:20:59 2013	73	Mydas	What I Do	What I Do EP
Tue Jan  1 02:25:20 2013	72	Heyoka	Chem	Marklar
Tue Jan  1 02:29:20 2013	74	Datsik	Domino	Firepower / Domino
Tue Jan  1 02:33:57 2013	76	Artikal	Alone In The Darkness	Alone In The Darkness
Tue Jan  1 02:38:58 2013	77	Document One	Clap	Breakdown EP
Tue Jan  1 02:43:55 2013	81	Droid Sector	Sarcophagus	Catharsis / Sarcophagus
