Mon Jul  1 00:05:45 2013	70	Quartus Saul	Los Angeles (Tim Ismag Remix)	More Heroes
Mon Jul  1 00:09:40 2013	72	Heyoka	11th Dimension	Marklar
Mon Jul  1 00:13:22 2013	74	Niveau Zero	Permafrost	Jasmine
Mon Jul  1 00:17:33 2013	74	Tambour Battant	In The Skies (The Unik Remix)	In the Skies
Mon Jul  1 00:21:45 2013	75	Truth	Full Baked	n/a
Mon Jul  1 00:26:10 2013	72	Evol Intent, Jackie B	Under Feat. Jackie B (Bro Safari Remix)	Middle Of The Night/Under Remixes
Mon Jul  1 00:31:10 2013	75	Deekline & Wizard, Dj Fresh, Ivory	Blow (The Bomb) (Ed Solo & Jfb Remix)	Blow (The Bomb)
Mon Jul  1 00:36:10 2013	71	Six, Syte	Wretch	The Compilation 2012
Mon Jul  1 00:42:34 2013	67	Minus, Beezy, Eddie K	Activate Feat. Beezy	Activate / Dark Ages
Mon Jul  1 00:46:59 2013	71	Opiuo	Off Chops Ft. Jess Chambers	Slurp And Giggle
Mon Jul  1 00:51:10 2013	68	Icicle	Need A Job	BNC EP
Mon Jul  1 00:56:09 2013	68	Trentemoller	Vamp	The Last Resort
Mon Jul  1 01:00:57 2013	71	Doctor P	Watch Out	Circus One Pres. By: Dr P & Flux Pavilion
Mon Jul  1 01:05:34 2013	65	Author	Mothership	Author
Mon Jul  1 01:11:35 2013	62	Perverse	Cerberus	Genocide EP
Mon Jul  1 01:16:46 2013	71	Adam F & Horx Feat. Redman	Shut The Lights Off (Caspa & Trolley Snatcha Remix)	Getdarker Presents This Is Dubstep 2
Mon Jul  1 01:20:47 2013	74	Tipper	Dissolve (Out) (Buckfunk 3000 Meta Remix)	Tertiary Noise
Mon Jul  1 01:27:48 2013	65	Bassnectar & Jantsen	Red Step	Divergent Spectrum
Mon Jul  1 01:32:11 2013	66	Downlink	Emergency	Emergency EP
Mon Jul  1 01:37:09 2013	69	Trashbat	Your Mind	The Compilation 2012
Mon Jul  1 01:43:33 2013	76	Killawatt	Topio	71 / Rolling Dunes / Topio
Mon Jul  1 01:48:45 2013	75	Yenn	Unqueer (Frederik Olufsen's Drumstep Bad Ass Bass In Your Face	n/a
Mon Jul  1 01:53:33 2013	68	Author, Ed Thomas	Turn	Author
Mon Jul  1 01:59:10 2013	75	Pretty Lights	Still Rockin	Making Up a Changing Mind
Mon Jul  1 02:03:10 2013	78	Davehoax	Moths	The Compilation 2012
Mon Jul  1 02:09:12 2013	81	Mrk2	Turn Me On	Getdarker Presents This Is Dubstep 2
Mon Jul  1 02:13:45 2013	80	Tantrum Desire	Guided Rhythm (Dubstep Mix)	Tantrum Desire - Guided Rhythm
Mon Jul  1 02:17:34 2013	87	Griz	I'm Home	n/a
Mon Jul  1 02:22:23 2013	85	Underworld	Rez (Bassnectar Remix)	Rez (Bassnectar Remix)
Mon Jul  1 02:27:11 2013	82	Soul Captive	Survival	The Compilation 2012
Mon Jul  1 02:32:11 2013	88	Excision	Obvious	n/a
Mon Jul  1 02:38:09 2013	88	Mimi Page, Shotgun Radio	A Bad Place (Minnesota Remix)	A Bad Place: Remixed
Mon Jul  1 02:46:34 2013	90	Cubism	Come Out & Play	Event Horizon LP
Mon Jul  1 02:50:11 2013	96	NiT GriT	Prituri Se Planinata By Stellamara (Ni T Gri T Remix)	n/a
Mon Jul  1 02:55:58 2013	92	Cyrus	Rupture	Nostalgia / Rupture
Mon Jul  1 03:01:57 2013	88	Redlight	Get Out My Head (Joker Remix)	Get Out My Head
Mon Jul  1 03:06:10 2013	89	Jay Cunning, Onesinner	Bad Girls (High Rankin Remix)	Bad Girls (Re-Mastered & Remixed)
Mon Jul  1 03:10:11 2013	93	Tallan	Tahi	The Compilation 2012
Mon Jul  1 03:15:58 2013	94	Author	The City	The City / Teacher
Mon Jul  1 03:21:31 2013	91	Datsik And Flux Pavilion	Crunch	n/a
Mon Jul  1 03:26:12 2013	92	Delta Heavy	Demons	Down The Rabbit Hole
Mon Jul  1 03:30:57 2013	86	JaFU	Terminal	Add To Cart
Mon Jul  1 03:34:18 2013	86	Symbl	Sonic Beatdown	n/a
Mon Jul  1 03:38:21 2013	87	Tom Encore	The Union	n/a
Mon Jul  1 03:43:33 2013	86	Seahorse	To Be One	The Compilation 2012
Mon Jul  1 03:50:18 2013	85	Ecto	Keep It Up	First Strike
Mon Jul  1 03:53:32 2013	87	Au5	Crystal Mathematics Feat. Shaz	n/a
Mon Jul  1 03:58:41 2013	87	Phutureprimitive	Cryogenic Dreams	Kinetik
Mon Jul  1 04:04:57 2013	82	Flowdan, Kaiju	Hunter Feat. Flowdan (Original	n/a
Mon Jul  1 04:10:24 2013	86	Icicle	Together In The Dust (Original	n/a
Mon Jul  1 04:15:51 2013	84	Cluekid	Don't Wanna Cry	Swarf Pot - Transition Dubstep
Mon Jul  1 04:19:57 2013	88	Freestylers, Joshua Steele	Frozen (Cookie Monsta Remix)	Frozen
Mon Jul  1 04:24:34 2013	87	Press	Point 5 0	n/a
Mon Jul  1 04:31:33 2013	87	Skrillex	Ruffneck (Full Flex)	n/a
Mon Jul  1 04:35:12 2013	91	Kryptic Minds	Askum	Askum / When Two Paths Cross
Mon Jul  1 04:41:05 2013	90	Zomboy	Mind Control	Never Say Die Vol. 2
Mon Jul  1 04:44:29 2013	91	Perverse	Mutiny	Genocide EP
Mon Jul  1 04:49:32 2013	97	Ishe, Dirt Monkey	Bill The Butcher	Ishe & Dirt Monkey EP
Mon Jul  1 04:53:42 2013	99	Rusko And Amber Coffman	Hold On (Sub Focus Remix)	Blow Your Head - Diplo Presents: Dubstep [Explicit]
Mon Jul  1 04:58:22 2013	96	Zeds Dead	In The Beginning	n/a
Mon Jul  1 05:02:01 2013	97	Marco Bernardi	Mystery Of Nazerus (2562 Remix)	Mystery Of Nazerus Remxed
Mon Jul  1 05:07:59 2013	103	Author	Drain	Author
Mon Jul  1 05:16:03 2013	105	Droid Sector	The Ruiner	n/a
Mon Jul  1 05:21:01 2013	110	Dubtro	Forgot Past Storage (Original	n/a
Mon Jul  1 05:27:20 2013	108	Nero	Act Like You Know (Dubstep Mix	Act Like You Know
Mon Jul  1 05:32:40 2013	105	NumberNin6	Garbage	UKF Dubstep 2010
Mon Jul  1 05:37:31 2013	98	Breakage, David Rodigan	Together	Together/Rain
Mon Jul  1 05:42:16 2013	96	NiT GriT	Quasars	NiT GriT
Mon Jul  1 05:47:05 2013	94	Spectrasoul	Buggin'	Delay No More
Mon Jul  1 05:51:41 2013	99	Cookie Monsta	Blurgh	Circus One Pres. By: Dr P & Flux Pavilion
Mon Jul  1 05:55:46 2013	99	Mimi Page	New (Phrenik Remix)	Harmonious HeartBEATS
Mon Jul  1 06:00:39 2013	94	Deadmau5	Raise Your Weapon (Noisia Remix)	Raise Your Weapon (Remixes)
Mon Jul  1 06:05:35 2013	88	Pete Namlook & Gaudi	The 7th Spirit	Everlasting - Selected And Mixed By Gaudi
Mon Jul  1 06:11:07 2013	86	Me&john	Tell Me (Feat, Lisa Lobsinger)	n/a
Mon Jul  1 06:16:03 2013	85	Camo, Krooked	All Fall Down Feat. Shaz Sparks (Club Mix)	All Fall Down
Mon Jul  1 06:20:09 2013	88	Skream	One For The Heads Who Remember	Ghetto Bass (Includes 2 Continuous DJ Mixes)
Mon Jul  1 06:24:21 2013	88	Skream Ft. Jme	Tapped	Skream!
Mon Jul  1 06:27:50 2013	88	Bassnectar	Window Seat	Cozza Frenzy
Mon Jul  1 06:34:25 2013	96	Cyrus	Nostalgia	Nostalgia / Rupture
Mon Jul  1 06:39:59 2013	93	Capes	Better Know	Everlasting - Selected And Mixed By Gaudi
Mon Jul  1 06:44:46 2013	100	Mr Lager Feat. Alys Be	Tell Me (Distance Remix)	Getdarker Presents This Is Dubstep 3
Mon Jul  1 06:49:42 2013	98	Blackburner	Feel The Burn (Feat. Sister Alice)	Feel the Burn
Mon Jul  1 06:53:00 2013	100	Tek-One	Broken String	UKF Dubstep 2010
Mon Jul  1 06:56:59 2013	99	Feed Me	Blood Red	Feed Me's Big Adventure
Mon Jul  1 07:02:46 2013	105	Sinister Souls	Void	n/a
Mon Jul  1 07:08:35 2013	105	Black Sun Empire, Foreign Beggars	Solace One Ft. Black Sun Empire (Datsik Remix)	The Harder They Fall Remixes
Mon Jul  1 07:12:58 2013	106	Excision, Space Laces	Destroid 7 Bounce (Original Mi	n/a
Mon Jul  1 07:17:11 2013	107	State Azure	Candle	n/a
Mon Jul  1 07:22:47 2013	102	Dev	Fireball (Dillon Francis Remix)	Fireball (Dillon Francis Remix)
Mon Jul  1 07:25:59 2013	107	Skream	Kinky	Swarf Pot - Transition Dubstep
Mon Jul  1 07:31:00 2013	94	Protohype, Kezwik	Menace	See No Evil
Mon Jul  1 07:34:47 2013	105	M Machine	The Palace Feat. Blake Hazard	Metropolis Pt. II
Mon Jul  1 07:40:24 2013	101	Flux Pavilion	Do Or Die Feat. Childish Gambi	n/a
Mon Jul  1 07:44:20 2013	94	Hirshee, Tonye Aganaba	So Good	So Good
Mon Jul  1 07:49:12 2013	112	Somaaa	Learning Curve	To Deadmau5, Mstrkrft, Bloody Beetroots, And Other Awesome People
