Sat Jun  1 00:05:07 2013	66	Untold	Stop What You're Doing (James Blake Remix)	Blow Your Head - Diplo Presents: Dubstep [Explicit]
Sat Jun  1 00:08:32 2013	67	Rackn Ruin	Dazed & Confused Feat. Janai & Illaman (Ski Sm's Baroque Out Re	n/a
Sat Jun  1 00:13:18 2013	65	Author	Mothership	Author
Sat Jun  1 00:19:18 2013	69	Phutureprimitive	Ripple Effect	Kinetik
Sat Jun  1 00:24:50 2013	72	Vaski	You Wouldn't Understand	n/a
Sat Jun  1 00:30:24 2013	80	Press	Point 5 0	n/a
Sat Jun  1 00:37:27 2013	71	Au5	Crystal Mathematics Feat. Shaz	n/a
Sat Jun  1 00:42:33 2013	70	Skrillex	Summit feat. Ellie Goulding	n/a
Sat Jun  1 00:48:44 2013	73	Bar 9	Piano Tune	UKF Dubstep 2010
Sat Jun  1 00:53:15 2013	77	Noisia	Alpha Centauri (Excision & Datsik Remix)	Split The Atom: Special Edition
Sat Jun  1 00:58:06 2013	74	Hirshee, Tonye Aganaba	So Good	So Good
Sat Jun  1 01:02:42 2013	76	Sp Mc, Lx One	Hunted	Hunted / Oh My Gosh
Sat Jun  1 01:07:42 2013	80	Benga	Stop Watching	Getdarker Presents This Is Dubstep 3
Sat Jun  1 01:12:24 2013	73	Distance	Travels	Swarf Pot - Transition Dubstep
Sat Jun  1 01:18:16 2013	76	Funtcase	Gorilla Flex (Roksonix King Kong Remix)	Lets Go / Gorilla Flex (Roksonix King Kong Remix)
Sat Jun  1 01:23:28 2013	76	Kryptic Minds	Askum	Askum / When Two Paths Cross
Sat Jun  1 01:28:55 2013	75	Icicle	Acid Step	BNC EP
Sat Jun  1 01:33:28 2013	75	Borgore	Sunset	Blow Your Head - Diplo Presents: Dubstep [Explicit]
Sat Jun  1 01:37:38 2013	76	Bassnectar	Here We Go	Timestretch
Sat Jun  1 01:44:16 2013	75	J Kenzo	Therapy	Ruffhouse / Therapy
Sat Jun  1 01:48:24 2013	70	Zeds Dead	In The Beginning	n/a
Sat Jun  1 01:52:10 2013	69	Underworld	Rez (Bassnectar Remix)	Rez (Bassnectar Remix)
Sat Jun  1 01:57:05 2013	71	Nicky Romero, Avicii	I Could Be The One (Dank (Usa)	n/a
Sat Jun  1 02:02:04 2013	81	Perverse	Thalamus	Genocide EP
Sat Jun  1 02:06:17 2013	73	Dubtro	Lift'in Off	Forgot Past Storage EP
Sat Jun  1 02:11:38 2013	71	Seven	Evolution	Evolution
Sat Jun  1 02:17:07 2013	71	Djinn	Something You Know (Original M	n/a
Sat Jun  1 02:21:51 2013	76	Bassnectar & Seth Drake	Above & Beyond	Divergent Spectrum
Sat Jun  1 02:25:28 2013	76	Tipper	Noise Cannon	Wobble Factor
Sat Jun  1 02:29:43 2013	81	Flux Pavilion	Do Or Die Feat. Childish Gambi	n/a
Sat Jun  1 02:33:42 2013	76	T Vicious	Give Me What I Want (Helicopter Showdown Remix)	Give Me What I Want (The Remixes) EP
Sat Jun  1 02:37:24 2013	73	Foreign Beggars, Skrillex	Still Getting It Feat. Skrillex	n/a
Sat Jun  1 02:41:20 2013	76	Black Sun Empire, Foreign Beggars	Solace One Ft. Black Sun Empire (Datsik Remix)	The Harder They Fall Remixes
Sat Jun  1 02:45:36 2013	71	Pitch Black	Harmonia (Deep Seed Mix)	Everlasting - Selected And Mixed By Gaudi
Sat Jun  1 02:51:52 2013	73	Shay, Borgore	Flex Ft Shay (Borgore Dubstep Remix)	Flex EP
Sat Jun  1 02:55:36 2013	79	Bratkilla	The Marching Dead	Bratkilla EP
Sat Jun  1 03:00:37 2013	84	Schoolboy, James Egbert	Stardust	The Silver Lining EP
Sat Jun  1 03:05:07 2013	78	Zomboy	Mind Control	Never Say Die Vol. 2
Sat Jun  1 03:08:41 2013	79	Flowdan, Kaiju	Hunter Feat. Flowdan (Original	n/a
Sat Jun  1 03:14:16 2013	82	District, Sleeper	Colony	Terraformed EP
Sat Jun  1 03:20:10 2013	82	Perverse	Cerberus	Genocide EP
Sat Jun  1 03:25:13 2013	84	Killawatt	Capa	Shakuhachi EP
Sat Jun  1 03:32:03 2013	82	Gogol Bordello	Immigraniada	Divergent Spectrum
Sat Jun  1 03:36:14 2013	72	Tantrum Desire	Guided Rhythm (Dubstep Mix)	Tantrum Desire - Guided Rhythm
Sat Jun  1 03:40:06 2013	72	Author	Fix	Author
Sat Jun  1 03:46:17 2013	77	Dubtro	Hatred	Forgot Past Storage EP
Sat Jun  1 03:51:10 2013	75	Skream	Kinky	Swarf Pot - Transition Dubstep
Sat Jun  1 03:56:12 2013	65	Truth	Fatman Vip	Fatman VIP / Dreams Never Come True
Sat Jun  1 04:01:01 2013	69	Robokop, Affe Maria	Turn Up The Bass	Turn Up The Bass EP
Sat Jun  1 04:05:40 2013	68	Ni T Gri T	Grit Shifter	n/a
Sat Jun  1 04:09:02 2013	72	Cyberoptics	Pimpin	Tie Fighter
Sat Jun  1 04:13:03 2013	69	Liquid Stranger	Fist Of Fury	dimmSummer presents: Sub Continental Bass
Sat Jun  1 04:19:56 2013	78	Benny Page	Original Killa	n/a
Sat Jun  1 04:25:18 2013	73	Xilent	Choose Me Ii	Choose Me EP
Sat Jun  1 04:29:32 2013	81	Perverse	Genocide	Genocide EP
Sat Jun  1 04:34:12 2013	81	JaFU	Terminal	Add To Cart
Sat Jun  1 04:37:43 2013	75	Sponge Bandits	Invade	My World
Sat Jun  1 04:41:42 2013	76	Nero (Uk)	Me & You	Me & You
Sat Jun  1 04:45:27 2013	73	Icicle	Need A Job	BNC EP
Sat Jun  1 04:50:32 2013	82	Author	Drain	Author
Sat Jun  1 04:58:41 2013	76	Dj Fresh	Gold Dust (Flux Pavilion Remix)	Getdarker Presents This Is Dubstep 3
Sat Jun  1 05:03:59 2013	84	Dubtro	Forgot Past Storage (Original	n/a
Sat Jun  1 05:10:14 2013	84	Cyrus	Nostalgia	Nostalgia / Rupture
Sat Jun  1 05:15:38 2013	82	Bassnectar	Heads Up (California Style)	Heads Up
Sat Jun  1 05:19:50 2013	81	M Machine	The Palace Feat. Blake Hazard	Metropolis Pt. II
Sat Jun  1 05:25:26 2013	92	Roksonix	Feel Good	Circus Two Sampler
Sat Jun  1 05:30:13 2013	94	Spectrasoul	Knuckle Waltz	n/a
Sat Jun  1 05:33:01 2013	91	Asc, Riya	The Touch Feat. Riya (Vaccine Remix)	The Touch
Sat Jun  1 05:38:04 2013	94	Mj Cole	Sincere (Nero Remix)	Sincere (Nero Remix)
Sat Jun  1 05:43:45 2013	97	Reid Speed, FS	To The Sky	Half Android
Sat Jun  1 05:48:00 2013	90	Benga	E Trips	Diary Of An Afro Warrior
Sat Jun  1 05:52:34 2013	89	Seven, Elvee	Crime Doesnt Pay	Cerebral EP
Sat Jun  1 05:57:32 2013	85	Distance	Traffic	10 Tons Heavy
