Tue Jan  1 00:02:07 2013	30	Azure Ray	The New Year	Burn and Shiver
Tue Jan  1 00:05:42 2013	31	Matt Costa	All I Want For Christmas	This Warm December: A Brushfire Holiday Vol. 1
Tue Jan  1 00:07:38 2013	29	Jars Of Clay	Love Came Down At Christmas	Christmas Songs
Tue Jan  1 00:10:30 2013	29	jens lekman	run away with me	n/a
Tue Jan  1 00:13:07 2013	28	Choir Of Young Believers	Wintertime Love	This Is For The White In Your Eyes
Tue Jan  1 00:18:04 2013	28	Goldenboy	Holiday	Sleepwalker
Tue Jan  1 00:21:17 2013	29	Slow Club	Silent Night	Christmas, Thanks For Nothing EP
Tue Jan  1 00:22:52 2013	32	Feist	Lo, How A Rose E're Blooming	Sweet Tracks
Tue Jan  1 00:26:44 2013	30	Mynabirds, The	All I Want is Truth (for Christmas)	All I Want Is Truth (for Christmas) (7")
Tue Jan  1 00:30:30 2013	30	Bright Eyes	The Night Before Christmas	n/a
Tue Jan  1 00:34:35 2013	29	Beach Boys	Dennis WIlson Christmas Message	n/a
Tue Jan  1 00:35:01 2013	30	Man of Arms	It's Christmas Time And Every Thing's Wrong	I'll Stay Til After Christmas
Tue Jan  1 00:36:37 2013	30	Eastern Sea	Carol Of The Bells	n/a
Tue Jan  1 00:37:32 2013	31	She & Him	The Christmas Song	A Very She & Him Christmas
Tue Jan  1 00:39:47 2013	31	Dean Gray	Dr. Who on Holiday	n/a
Tue Jan  1 00:44:49 2013	28	Nurses	Winter	Apple's Acre
Tue Jan  1 00:48:49 2013	28	Eels	Christmas is Going to the Dogs	The OC: Chrismukkah album
Tue Jan  1 00:51:41 2013	30	computer perfection	Able Archer	We Wish You Well On Your Way To Hell
Tue Jan  1 00:56:13 2013	29	Shonen Knife	Space Christmas	Indie Top 20 - Volume 14
Tue Jan  1 00:59:08 2013	27	Lovespirals	Aspenglow	A Dark Noel
Tue Jan  1 01:01:17 2013	27	Still Corners	The White Season	Creatures Of An Hour
Tue Jan  1 01:03:53 2013	27	Danger Mouse & Daniele Luppi	Season's Trees	Rome
Tue Jan  1 01:06:56 2013	27	Oranger	Winter Gardener	From the Ashes of Electric Elves
Tue Jan  1 01:10:50 2013	28	Kenny Laguna	Home For Christmas	n/a
Tue Jan  1 01:14:22 2013	29	Laura Marling	Goodbye England (Covered In Snow)	I Speak Because I Can
Tue Jan  1 01:18:00 2013	29	El Perro Del Mar	Oh! What A Christmas	It's Not Like Christmas
Tue Jan  1 01:21:00 2013	32	Yo La Tengo	Winter A Go-Go	Summer Sun
Tue Jan  1 01:24:17 2013	31	Niki & The Dove	Winterheart	Instinct
Tue Jan  1 01:28:24 2013	30	Shark	Christmas	n/a
Tue Jan  1 01:31:08 2013	31	Diamond Rugs	Christmas In A Chinese Restaurant	n/a
Tue Jan  1 01:34:39 2013	29	Vacancies, The	Father Christmas	n/a
Tue Jan  1 01:37:42 2013	30	Mikey Wax	Catch The Midnight Flight	A Rock By The Sea Christmas :: Volume Three
Tue Jan  1 01:42:36 2013	29	Kites With Lights	I Wish Every Other Day Was Christmas	n/a
Tue Jan  1 01:45:48 2013	29	Apples In Stereo	Holiday Mood	Oh Santa!
Tue Jan  1 01:48:06 2013	28	Amor De Dias	Season of Light	Street of the Love of Days
Tue Jan  1 01:50:54 2013	29	Deer Tick	Choir of Angels	The Black Dirt Sessions
Tue Jan  1 01:53:47 2013	26	Jingle Punx	Up On The Housetop	n/a
Tue Jan  1 01:55:30 2013	26	Weezer	O Come All Ye Faithful	n/a
Tue Jan  1 01:57:28 2013	27	Ashes, The	Am I Too Old For Christmas	n/a
Tue Jan  1 01:59:54 2013	27	Mister Loveless	Blue Christmas (feat. Meghan Elizabeth)	n/a
Tue Jan  1 02:02:35 2013	28	Mama Gypsy	What Child Is This	A Rock By The Sea Christmas :: Volume Three
Tue Jan  1 02:05:49 2013	28	Eux Autres	Merry Xmas Everybody	Another Christmas At Home
Tue Jan  1 02:08:54 2013	28	Of Montreal	Christmas Isn't Safe For Animals	n/a
Tue Jan  1 02:12:30 2013	29	Dollyrots, The	Santa Baby	n/a
Tue Jan  1 02:14:27 2013	29	Young Moon	Cold Day Solstice	Navigated Like the Swans
Tue Jan  1 02:18:17 2013	27	Kenny Vance and the Planotones	Mr. Santa	n/a
Tue Jan  1 02:21:07 2013	27	Rough Shop	Big Man Under the Tree	n/a
Tue Jan  1 02:23:27 2013	27	Elvis Presley	Santa Claus Is Back in Town	Elvis' Christmas Album
Tue Jan  1 02:25:45 2013	26	AM & Shawn Lee	Winter Sun	Celestial Electric
Tue Jan  1 02:29:13 2013	28	Ciao Bella	Christmas Time	n/a
Tue Jan  1 02:32:36 2013	28	Pogues, The	Fairytale Of New York	If I Should Fall From Grace With God
Tue Jan  1 02:36:56 2013	24	Smithereens, The	Rudolph, The Red Nosed Reindeer	n/a
Tue Jan  1 02:40:00 2013	26	Raveonettes, The	Come On Santa	n/a
Tue Jan  1 02:43:29 2013	28	Cold Specks	Winter Solstice	I Predict a Graceful Expulsion
Tue Jan  1 02:47:22 2013	27	Mancino	Welcome Christmas	Do you EAR what I EAR?
Tue Jan  1 02:50:15 2013	27	Lou Reed	Holiday I.D.	n/a
Tue Jan  1 02:50:41 2013	27	Ernest Gonzales	Dancing In The Snow	Been Meaning To Tell You
Tue Jan  1 02:53:57 2013	32	Papercuts, The	Winter Daze	Fading Parade
Tue Jan  1 02:57:00 2013	27	Jean On Jean	This Christmas Day	Do you EAR what I EAR?
Tue Jan  1 03:00:36 2013	28	Travis Denning	Ballad Of Rudolph	A Rock By The Sea Christmas :: Volume Three
Tue Jan  1 03:04:06 2013	25	My Morning Jacket	Please Come Home for Christmas (iTunes Session)	n/a
Tue Jan  1 03:07:01 2013	24	Departure Lounge	Christmas Downer	Xfm: It's A Cool, Cool Christmas
Tue Jan  1 03:10:13 2013	25	Todd Carey	Perfect Christmas Day	A Rock By The Sea Christmas :: Volume Three
Tue Jan  1 03:13:00 2013	24	Sharon Van Etten	Blue Christmas	Do you EAR what I EAR?
Tue Jan  1 03:15:35 2013	31	Sloppy Seconds	Lonely Christmas	Knock Your Block Off
Tue Jan  1 03:18:44 2013	34	Joey Ramone	What A Wonderful World	Joey Ramone: Don't Worry About Me
Tue Jan  1 03:21:01 2013	26	Eastern Sea	The First Noel	n/a
Tue Jan  1 03:24:19 2013	24	Ad Frank & The Fast Easy Women	Winterthru	Your Secrets Are Mine Now
Tue Jan  1 03:28:07 2013	25	Feist	Please Be Patient	A Colbert Christmas: The Greatest Gift of All!
Tue Jan  1 03:30:32 2013	25	National Splits, The	Let's Wrap Each Other	n/a
Tue Jan  1 03:32:41 2013	29	Persephone's Bees	Santa Baby Mix	n/a
Tue Jan  1 03:35:48 2013	27	matt pond PA	Snow Day	Winter Songs EP
Tue Jan  1 03:39:14 2013	28	Liz Phair	Winter Wonderland	n/a
Tue Jan  1 03:41:41 2013	25	Morphine	Sexy Christmas Baby Mine	At Your Service
Tue Jan  1 03:43:21 2013	25	Coldplay	Christmas Lights	Now That's What I Call Today's Christmas!
Tue Jan  1 03:47:18 2013	25	Layaways, The	Silent Night	n/a
Tue Jan  1 03:51:16 2013	27	Pines, The	Silver Bells	n/a
