Thu Jan  1 00:02:18 2015	29	Slow Club	Christmas TV	Christmas Thanks For Nothing
Thu Jan  1 00:06:44 2015	30	Leon Redbone & Zooey Deschanel	Baby, It's Cold Outside	n/a
Thu Jan  1 00:10:12 2015	31	My Morning Jacket	Santa Claus Is Back In Town	Wish You A Merry Christmas and A Happy New Year
Thu Jan  1 00:13:42 2015	32	Lonely Wild	Holidays (Radio Edit)	n/a
Thu Jan  1 00:18:13 2015	32	Lilys	Good King Winceslas	Festivus!
Thu Jan  1 00:21:24 2015	32	Jingle Punx	Feliz Navidad	n/a
Thu Jan  1 00:23:35 2015	33	Bell, The	Holiday	Your Fair Share of the Bell
Thu Jan  1 00:27:07 2015	30	Girl in a Coma	Blue Christmas	A Blackheart Christmas (Compilation)
Thu Jan  1 00:29:29 2015	30	Dream Diary	Christmas All Over (Tom Petty cover)	n/a
Thu Jan  1 00:32:13 2015	30	LeeVees, The	How Do You Spell Channukkahh	Hanukkah Rocks
Thu Jan  1 00:36:54 2015	30	Bethan	O Come, O Come Emmanuel	n/a
Thu Jan  1 00:43:35 2015	32	From Bubblegum To Sky	Last Christmas	n/a
Thu Jan  1 00:46:18 2015	31	May Fire, The	It's A Marshmallow World	n/a
Thu Jan  1 00:49:29 2015	31	Ike Reilly	Christmas Star	n/a
Thu Jan  1 00:53:08 2015	30	Triggers	A Very Triggers Christmas	XO for the Holidays Vol 3
Thu Jan  1 00:55:31 2015	31	Amanda Duncan	Light Those Candles Bright	n/a
Thu Jan  1 00:59:00 2015	30	Parmesans	Christmas Time Is Here	n/a
Thu Jan  1 01:01:50 2015	31	Beta Radio	Winter Eclipse	n/a
Thu Jan  1 01:06:55 2015	30	Belle & Sebastian	O Come. O Come Emmanuel	It's a Cool, Cool Christmas (Compilation)
Thu Jan  1 01:10:16 2015	29	David Martin	Fall La La In Love	n/a
Thu Jan  1 01:13:08 2015	29	Mancino	Welcome Christmas	Do you EAR what I EAR?
Thu Jan  1 01:15:56 2015	32	Bray	This Christmas	n/a
Thu Jan  1 01:19:08 2015	31	Pines, The	Silver Bells	n/a
Thu Jan  1 01:22:33 2015	28	She & Him	Christmas Wish	A Very She & Him Christmas
Thu Jan  1 01:25:22 2015	29	Piney Gir	A Cheery Christmas	XO for the Holidays Vol 3
Thu Jan  1 01:28:00 2015	28	Maybe It's Reno	Gravestones and Christmas Trees	Maybe It's Reno
Thu Jan  1 01:30:40 2015	28	Saints Of Valory	Winter Lights	A Rock By The Sea Christmas :: Volume Three
Thu Jan  1 01:35:32 2015	29	78violet (Aly & AJ)	Winter Wonderland	n/a
Thu Jan  1 01:38:09 2015	29	Weezer	O Holy Night	Christmas With Weezer EP
Thu Jan  1 01:42:07 2015	30	Eux Autres	Another Christmas At Home	Another Christmas At Home
Thu Jan  1 01:44:13 2015	30	Kaliyo	O Come O Come Emmanuel	RCR008 Good Clean Fun
Thu Jan  1 01:47:13 2015	29	Waitresses, The	Christmas Wrapping	King Biscuit Flower Hour
Thu Jan  1 01:52:21 2015	32	Nyles Lannon	Hazy Shade Of Winter	n/a
Thu Jan  1 01:56:01 2015	32	Canaries In The Coal Mine	Falling Like Snow	n/a
Thu Jan  1 01:59:24 2015	32	Rosebuds, The	Oh It's Christmas	Christmas Tree Island
Thu Jan  1 02:02:18 2015	33	Ben Kweller	It Ain't Christmas Yet	n/a
Thu Jan  1 02:04:34 2015	34	Kings Of Convenience	Deilig Er Jorden	Kindercore Records Christmas, Volume 2 (Compilation)
Thu Jan  1 02:07:29 2015	35	Dandy Warhols	Little Drummer Boy	Xfm: It's A Cool, Cool Christmas
Thu Jan  1 02:09:49 2015	33	Bright Eyes	Blue Christmas	Maybe This Christmas
Thu Jan  1 02:12:32 2015	33	Poison Control Center	Happy Christmas	Do you EAR what I EAR?
Thu Jan  1 02:14:45 2015	31	Bears	I'm a Snowman	Snowman 7"
Thu Jan  1 02:17:21 2015	31	U2	Christmas (Baby Please Come Home)	Pop
Thu Jan  1 02:19:34 2015	31	Bosque Brown	Silent Night	I'll Stay 'Til After Christmas (Compilation)
Thu Jan  1 02:22:36 2015	31	Tracey Thorn	Maybe This Christmas	Tinsel & Lights
Thu Jan  1 02:24:55 2015	30	Over The Rhine	Blood Oranges In The Snow	n/a
Thu Jan  1 02:29:39 2015	32	Bela Fleck & The Flecktones	Linus And Lucy	Jingle All the Way [Vinyl]
Thu Jan  1 02:32:41 2015	32	Woods	Christmas Time is Here	Christmas Time is Here
Thu Jan  1 02:35:12 2015	33	Seabear	In Winters Eyes	We Built A Fire
Thu Jan  1 02:38:52 2015	33	AM & Shawn Lee	Winter Sun	Celestial Electric
Thu Jan  1 02:42:22 2015	32	Sufjan Stevens	Angels We Have Heard On High	Hark! Songs For Christmas Volume 2
Thu Jan  1 02:43:08 2015	31	Van Pelts	Holiday	n/a
Thu Jan  1 02:47:06 2015	30	Wall Matthews	Joy To The World, Here We Come A Wassailing	n/a
Thu Jan  1 02:49:16 2015	29	Mark Eitzel	Xmas Lights Spin	Caught In A Trap And I Can't Back Out 'Cause I Love You Too Much, Baby
Thu Jan  1 02:53:51 2015	29	Eastern Sea	O, Holy Night	First Christmas
Thu Jan  1 02:58:15 2015	29	Long Winters	Christmas With You Is The Best	The OC: Chrismukkah album
